Q0	'Ndrangheta
Q16410	Presidential Candidate (Iran)
Q16411	Presidential Candidate (Kenya)
Q16412	Presidential Candidate (Kyrgyzstan)
Q16413	Presidential Candidate (Lithuania)
Q16414	Presidential Candidate (Mexico)
Q16415	Presidential Candidate (Moldova)
Q16416	Presidential Candidate (Nicaragua)
Q16417	Presidential Candidate (Nigeria)
Q16418	Presidential Candidate (Peru)
Q16419	Presidential Candidate (Senegal)
Q16420	Presidential Candidate (Somalia)
Q16421	Presidential Candidate (South Korea)
Q16422	Presidential Candidate (Spain)
Q16423	Presidential Candidate (Syria)
Q16424	Presidential Candidate (Tunisia)
Q16425	Presidential Candidate (Turkey)
Q16426	Presidential Candidate (Uganda)
Q16427	Presidential Candidate (United States)
Q16428	Presidential Candidate (Venezuela)
Q16429	Presidential Family (Argentina)
Q16430	Presidential Family (Azerbaijan)
Q16431	Presidential Family (Brazil)
Q16432	Presidential Family (Chad)
Q16433	Presidential Family (Cote d'Ivoire)
Q16434	Presidential Family (Democratic Republic of Congo)
Q16435	Presidential Family (El Salvador)
Q16436	Presidential Family (Guyana)
Q16437	Presidential Family (Haiti)
Q16438	Presidential Family (Honduras)
Q16439	Presidential Family (India)
Q16440	Presidential Family (Israel)
Q16441	Presidential Family (Kenya)
Q16442	Presidential Family (Kyrgyzstan)
Q16443	Presidential Family (Liberia)
Q16444	Presidential Family (Lithuania)
Q16445	Presidential Family (Malawi)
Q16446	Presidential Family (Mexico)
Q16447	Presidential Family (Nicaragua)
Q16448	Presidential Family (Nigeria)
Q16449	Presidential Family (Peru)
Q16450	Presidential Family (Rwanda)
Q16451	Presidential Family (Sierra Leone)
Q16452	Presidential Family (South Korea)
Q16453	Presidential Family (Ukraine)
Q16454	Presidential Family (United Kingdom)
Q16455	Presidential Family (United States)
Q16456	Presidential Family (Zambia)
Q16457	Presidential Family (Zimbabwe)
Q16458	Presidential Majority
Q16459	Presidential Ministry (Brazil)
Q16460	Presidential Movement
Q16461	Presidential Press Service (Afghanistan)
Q16462	Presidential Press Service (Armenia)
Q16463	Presidential Press Service (Bangladesh)
Q16464	Presidential Press Service (Belarus)
Q16465	Presidential Press Service (Brazil)
Q16466	Presidential Press Service (Canada)
Q16467	Presidential Press Service (Department of Defense)
Q16468	Presidential Press Service (Estonia)
Q16469	Presidential Press Service (European Union)
Q16470	Presidential Press Service (India)
Q16471	Presidential Press Service (Iran)
Q16472	Presidential Press Service (Japan)
Q16473	Presidential Press Service (Kazakhstan)
Q16474	Presidential Press Service (Kyrgyzstan)
Q16475	Presidential Press Service (Lithuania)
Q16476	Presidential Press Service (Malawi)
Q16477	Presidential Press Service (Mauritius)
Q16478	Presidential Press Service (Mozambique)
Q16479	Presidential Press Service (Myanmar)
Q16480	Presidential Press Service (Nigeria)
Q16481	Presidential Press Service (Poland)
Q16482	Presidential Press Service (Russia)
Q16483	Presidential Press Service (South Sudan)
Q16484	Presidential Press Service (Sri Lanka)
Q16485	Presidential Press Service (Turkey)
Q16486	Presidential Press Service (Uganda)
Q16487	Presidential Press Service (Ukraine)
Q16488	Presidential Press Service (United Kingdom)
Q16489	Presidential Press Service (United States)
Q16490	Presidential Press Service (Uzbekistan)
Q16491	Press Trust of India
Q16492	Press Union of Liberia
Q16493	Priest (Argentina)
Q16494	Priest (Australia)
Q16495	Priest (Brazil)
Q16496	Priest (Cameroon)
Q16497	Priest (Canada)
Q16498	Priest (Chile)
Q16499	Priest (China)
Q16500	Priest (Colombia)
Q16501	Priest (Cote d'Ivoire)
Q16502	Priest (Egypt)
Q16503	Priest (France)
Q16504	Priest (Georgia)
Q16505	Priest (Germany)
Q16506	Priest (Greece)
Q16507	Priest (Guyana)
Q16508	Priest (Haiti)
Q16509	Priest (Holy See (Vatican City State))
Q16510	Priest (India)
Q16511	Priest (Indonesia)
Q16512	Priest (Iraq)
Q16513	Priest (Ireland)
Q16514	Priest (Italy)
Q16515	Priest (Lebanon)
Q16516	Priest (Lithuania)
Q16517	Priest (Madagascar)
Q16518	Priest (Mexico)
Q16519	Priest (Montenegro)
Q16520	Priest (Namibia)
Q16521	Priest (Nigeria)
Q16522	Priest (Paraguay)
Q16523	Priest (Philippines)
Q16524	Priest (Russia)
Q16525	Priest (Rwanda)
Q16526	Priest (Ukraine)
Q16527	Priest (United States)
Q16528	Priest (Venezuela)
Q16529	Prime Minister bin Ibrahim
Q16530	Prince Charles
Q16531	Prince Hassan bin Talal
Q16532	Prince Johnson
Q16533	Priscilla Misihairabwi-Mushonga
Q16534	Prisoner of War (Armenia)
Q16535	Prisoner of War (Azerbaijan)
Q16536	Prisoner of War (Ukraine)
Q16537	Priti Patel
Q16538	Privacy International
Q16539	Private Armies (Philippines)
Q16540	Priyanka Gandhi
Q16541	Pro Democracy Group (Thailand)
Q16542	Procter & Gamble
Q16543	Professor (Afghanistan)
Q16544	Professor (Algeria)
Q16545	Professor (Argentina)
Q16546	Professor (Armenia)
Q16547	Professor (Australia)
Q16548	Professor (Azerbaijan)
Q16549	Professor (Bahrain)
Q16550	Professor (Bangladesh)
Q16551	Professor (Belarus)
Q16552	Professor (Bosnia and Herzegovina)
Q16553	Professor (Brazil)
Q16554	Professor (Bulgaria)
Q16555	Professor (Burkina Faso)
Q16556	Professor (Canada)
Q16557	Professor (Chile)
Q16558	Professor (China)
Q16559	Professor (Colombia)
Q16560	Professor (Cote d'Ivoire)
Q16561	Professor (Croatia)
Q16562	Professor (Cuba)
Q16563	Professor (Cyprus)
Q16564	Professor (Egypt)
Q16565	Professor (Ethiopia)
Q16566	Professor (Fiji)
Q16567	Professor (Finland)
Q16568	Professor (France)
Q16569	Professor (Germany)
Q16570	Professor (Ghana)
Q16571	Professor (Holy See (Vatican City State))
Q16572	Professor (Hong Kong)
Q16573	Professor (India)
Q16574	Professor (Indonesia)
Q16575	Professor (International)
Q16576	Professor (Iran)
Q16577	Professor (Iraq)
Q16578	Professor (Israel)
Q16579	Professor (Jamaica)
Q16580	Professor (Japan)
Q16581	Professor (Kazakhstan)
Q16582	Professor (Kenya)
Q16583	Professor (Kosovo)
Q16584	Professor (Latvia)
Q16585	Professor (Lebanon)
Q16586	Professor (Lesotho)
Q16587	Professor (Liberia)
Q16588	Professor (Lithuania)
Q16589	Professor (Malawi)
Q16590	Professor (Malaysia)
Q16591	Professor (Mexico)
Q16592	Professor (Myanmar)
Q16593	Professor (Netherlands)
Q16594	Professor (New Zealand)
Q16595	Professor (Nigeria)
Q16596	Professor (Pakistan)
Q16597	Professor (Peru)
Q16598	Professor (Philippines)
Q16599	Professor (Poland)
Q16600	Professor (Russia)
Q16601	Professor (Rwanda)
Q16602	Professor (Senegal)
Q16603	Professor (Sierra Leone)
Q16604	Professor (Singapore)
Q16605	Professor (South Africa)
Q16606	Professor (South Korea)
Q16607	Professor (Sri Lanka)
Q16608	Professor (Sudan)
Q16609	Professor (Syria)
Q16610	Professor (Taiwan)
Q16611	Professor (Tanzania)
Q16612	Professor (Thailand)
Q16613	Professor (Togo)
Q16614	Professor (Tunisia)
Q16615	Professor (Turkey)
Q16616	Professor (Ukraine)
Q16617	Professor (United Arab Emirates)
Q16618	Professor (United Kingdom)
Q16619	Professor (United States)
Q16620	Professor (Vietnam)
Q16621	Professor (Zimbabwe)
Q16622	Progress Party
Q16623	Progressive Democratic Party
Q16624	Progressive Movement
Q16625	Progressive Party (Brazil)
Q16626	Progressive Party (Gambia)
Q16627	Progressive Party (Guyana)
Q16628	Progressive Party (Malawi)
Q16629	Progressive Party (Nigeria)
Q16630	Progressive Party (Serbia)
Q16631	Progressive Party (South Korea)
Q16632	Progressive Party of Maldives
Q16633	Progressive Socialist Party
Q16634	Progressive Teachers Union of Zimbabwe
Q16635	Project Ploughshares
Q16636	Prosperous Armenia
Q16637	Protestant Priest (Indonesia)
Q16638	Protester (10 Downing Street)
Q16639	Protester (Afghanistan)
Q16640	Protester (Algeria)
Q16641	Protester (Angola)
Q16642	Protester (Argentina)
Q16643	Protester (Armenia)
Q16644	Protester (Australia)
Q16645	Protester (Azerbaijan)
Q16646	Protester (Bahrain)
Q16647	Protester (Bangladesh)
Q16648	Protester (Barbados)
Q16649	Protester (Belarus)
Q16650	Protester (Belgium)
Q16651	Protester (Belize)
Q16652	Protester (Benin)
Q16653	Protester (Bolivia)
Q16654	Protester (Bosnia and Herzegovina)
Q16655	Protester (Brazil)
Q16656	Protester (Bulgaria)
Q16657	Protester (Burkina Faso)
Q16658	Protester (Burundi)
Q16659	Protester (Cameroon)
Q16660	Protester (Canada)
Q16661	Protester (Chad)
Q16662	Protester (Chile)
Q16663	Protester (China)
Q16664	Protester (Colombia)
Q16665	Protester (Comoros)
Q16666	Protester (Congo)
Q16667	Protester (Congress Party)
Q16668	Protester (Costa Rica)
Q16669	Protester (Croatia)
Q16670	Protester (Cuba)
Q16671	Protester (Curacao)
Q16672	Protester (Cyprus)
Q16673	Protester (Czech Republic)
Q16674	Protester (Democratic Republic of Congo)
Q16675	Protester (Denmark)
Q16676	Protester (Ecuador)
Q16677	Protester (Egypt)
Q16678	Protester (El Salvador)
Q16679	Protester (Estonia)
Q16680	Protester (Ethiopia)
Q16681	Protester (Executive Office of the President)
Q16682	Protester (Finland)
Q16683	Protester (France)
Q16684	Protester (Gabon)
Q16685	Protester (Georgia)
Q16686	Protester (Germany)
Q16687	Protester (Ghana)
Q16688	Protester (Greece)
Q16689	Protester (Grenada)
Q16690	Protester (Guatemala)
Q16691	Protester (Guinea)
Q16692	Protester (Haiti)
Q16693	Protester (Hazara (Social Group))
Q16694	Protester (Hong Kong)
Q16695	Protester (Hungary)
Q16696	Protester (India)
Q16697	Protester (Indian Administered Kashmir)
Q16698	Protester (Indonesia)
Q16699	Protester (Iran)
Q16700	Protester (Iraq)
Q16701	Protester (Ireland)
Q16702	Protester (Israel)
Q16703	Protester (Italy)
Q16704	Protester (Japan)
Q16705	Protester (Jordan)
Q16706	Protester (Kazakhstan)
Q16707	Protester (Kenya)
Q16708	Protester (Kurdistan Workers' Party)
Q16709	Protester (Kuwait)
Q16710	Protester (Kyrgyzstan)
Q16711	Protester (Latvia)
Q16712	Protester (Lebanon)
Q16713	Protester (Liberia)
Q16714	Protester (Libya)
Q16715	Protester (Lithuania)
Q16716	Protester (Macedonia)
Q16717	Protester (Madagascar)
Q16718	Protester (Malawi)
Q16719	Protester (Malaysia)
Q16720	Protester (Mali)
Q16721	Protester (Mauritania)
Q16722	Protester (Mauritius)
Q16723	Protester (Mexico)
Q16724	Protester (Moldova)
Q16725	Protester (Montenegro)
Q16726	Protester (Morocco)
Q16727	Protester (Myanmar)
Q16728	Protester (National United Front for Democracy Against Dictatorship)
Q16729	Protester (Nepal)
Q16730	Protester (Netherlands)
Q16731	Protester (New Zealand)
Q16732	Protester (Nicaragua)
Q16733	Protester (Niger)
Q16734	Protester (Nigeria)
Q16735	Protester (Oman)
Q16736	Protester (Pakistan)
Q16737	Protester (Palestinian Territory, Occupied)
Q16738	Protester (Panama)
Q16739	Protester (Paraguay)
Q16740	Protester (Peru)
Q16741	Protester (Philippines)
Q16742	Protester (Poland)
Q16743	Protester (Puerto Rico)
Q16744	Protester (Romania)
Q16745	Protester (Russia)
Q16746	Protester (Saint Vincent and the Grenadines)
Q16747	Protester (Saudi Arabia)
Q16748	Protester (Senegal)
Q16749	Protester (Serbia)
Q16750	Protester (Singapore)
Q16751	Protester (Slovakia)
Q16752	Protester (Somalia)
Q16753	Protester (South Africa)
Q16754	Protester (South Korea)
Q16755	Protester (Spain)
Q16756	Protester (Sri Lanka)
Q16757	Protester (Sudan)
Q16758	Protester (Swaziland)
Q16759	Protester (Sweden)
Q16760	Protester (Switzerland)
Q16761	Protester (Syria)
Q16762	Protester (Taiwan)
Q16763	Protester (Tanzania)
Q16764	Protester (Thailand)
Q16765	Protester (Trinidad and Tobago)
Q16766	Protester (Tunisia)
Q16767	Protester (Turkey)
Q16768	Protester (Turkish Kurds)
Q16769	Protester (Uganda)
Q16770	Protester (Ukraine)
Q16771	Protester (United Arab Emirates)
Q16772	Protester (United Kingdom)
Q16773	Protester (United Nations)
Q16774	Protester (United States)
Q16775	Protester (Venezuela)
Q16776	Protester (Vietnam)
Q16777	Protester (Xinjiang Uyghur)
Q16778	Protester (Yemen)
Q16779	Protester (Zimbabwe)
Q16780	Protesting Worker (Bangladesh)
Q16781	Provincial Officials (Afghanistan)
Q16782	Provincial Officials (China)
Q16783	Provincial Officials (North Korea)
Q16784	Provincial Officials (Philippines)
Q16785	Provisional Electoral Council
Q16786	Pru Goward
Q16787	Puan Maharani
Q16788	Public Council
Q16789	Public Courts (Australia)
Q16790	Public Courts (Bangladesh)
Q16791	Public Courts (Bolivia)
Q16792	Public Courts (Bosnia and Herzegovina)
Q16793	Public Courts (Brazil)
Q16794	Public Courts (Cambodia)
Q16795	Public Courts (Canada)
Q16796	Public Courts (Chile)
Q16797	Public Courts (China)
Q16798	Public Courts (Colombia)
Q16799	Public Courts (Cote d'Ivoire)
Q16800	Public Courts (Croatia)
Q16801	Public Courts (Ecuador)
Q16802	Public Courts (El Salvador)
Q16803	Public Courts (Estonia)
Q16804	Public Courts (Fiji)
Q16805	Public Courts (Ghana)
Q16806	Public Courts (Holy See (Vatican City State))
Q16807	Public Courts (India)
Q16808	Public Courts (Lebanon)
Q16809	Public Courts (Mexico)
Q16810	Public Courts (Moldova)
Q16811	Public Courts (Namibia)
Q16812	Public Courts (Netherlands)
Q16813	Public Courts (Nicaragua)
Q16814	Public Courts (Nigeria)
Q16815	Public Courts (Peru)
Q16816	Public Courts (Philippines)
Q16817	Public Courts (Poland)
Q16818	Public Courts (Rwanda)
Q16819	Public Courts (Serbia)
Q16820	Public Courts (Singapore)
Q16821	Public Courts (South Africa)
Q16822	Public Courts (Spain)
Q16823	Public Courts (United Kingdom)
Q16824	Public Courts (Zimbabwe)
Q16825	Public Defender (Brazil)
Q16826	Public Defender (Georgia)
Q16827	Public Defender (Uruguay)
Q16828	Public Eye
Q16829	Public Health Agency of Canada
Q16830	Public Health Department
Q16831	Public Health Institute of Chile
Q16832	Public Prosecutor (Algeria)
Q16833	Public Prosecutor (Argentina)
Q16834	Public Prosecutor (Austria)
Q16835	Public Prosecutor (Bangladesh)
Q16836	Public Prosecutor (Belgium)
Q16837	Public Prosecutor (Bolivia)
Q16838	Public Prosecutor (Brazil)
Q16839	Public Prosecutor (Bulgaria)
Q16840	Public Prosecutor (Cameroon)
Q16841	Public Prosecutor (Colombia)
Q16842	Public Prosecutor (Congo)
Q16843	Public Prosecutor (Cote d'Ivoire)
Q16844	Public Prosecutor (Croatia)
Q16845	Public Prosecutor (Democratic Republic of Congo)
Q16846	Public Prosecutor (Egypt)
Q16847	Public Prosecutor (Fiji)
Q16848	Public Prosecutor (France)
Q16849	Public Prosecutor (Germany)
Q16850	Public Prosecutor (Greece)
Q16851	Public Prosecutor (Hong Kong)
Q16852	Public Prosecutor (India)
Q16853	Public Prosecutor (Iran)
Q16854	Public Prosecutor (Italy)
Q16855	Public Prosecutor (Japan)
Q16856	Public Prosecutor (Jordan)
Q16857	Public Prosecutor (Lebanon)
Q16858	Public Prosecutor (Luxembourg)
Q16859	Public Prosecutor (Malaysia)
Q16860	Public Prosecutor (Mali)
Q16861	Public Prosecutor (Morocco)
Q16862	Public Prosecutor (Movement for France)
Q16863	Public Prosecutor (Mozambique)
Q16864	Public Prosecutor (Namibia)
Q16865	Public Prosecutor (Nicaragua)
Q16866	Public Prosecutor (Nigeria)
Q16867	Public Prosecutor (Peru)
Q16868	Public Prosecutor (Poland)
Q16869	Public Prosecutor (Portugal)
Q16870	Public Prosecutor (Qatar)
Q16871	Public Prosecutor (Romania)
Q16872	Public Prosecutor (Russia)
Q16873	Public Prosecutor (Saudi Arabia)
Q16874	Public Prosecutor (Singapore)
Q16875	Public Prosecutor (Slovenia)
Q16876	Public Prosecutor (Sudan)
Q16877	Public Prosecutor (Sweden)
Q16878	Public Prosecutor (Switzerland)
Q16879	Public Prosecutor (Thailand)
Q16880	Public Prosecutor (Tunisia)
Q16881	Public Prosecutor (Turkey)
Q16882	Public Prosecutor (Venezuela)
Q16883	Public Prosecutor (Zimbabwe)
Q16884	Public Safety Canada
Q16885	Public Sector (Algeria)
Q16886	Public Sector (Australia)
Q16887	Public Sector (Brazil)
Q16888	Public Sector (Canada)
Q16889	Public Sector (Cote d'Ivoire)
Q16890	Public Sector (Estonia)
Q16891	Public Sector (India)
Q16892	Public Sector (Jordan)
Q16893	Public Sector (Kenya)
Q16894	Public Sector (Lebanon)
Q16895	Public Sector (Liberia)
Q16896	Public Sector (Malaysia)
Q16897	Public Sector (New Zealand)
Q16898	Public Sector (Nigeria)
Q16899	Public Sector (Peru)
Q16900	Public Sector (Romania)
Q16901	Public Sector (South Korea)
Q16902	Public Sector (Thailand)
Q16903	Public Sector (Tunisia)
Q16904	Public Sector (United Kingdom)
Q16905	Public Sector (Uzbekistan)
Q16906	Public Service Ministry/Department (Canada)
Q16907	Public Service Ministry/Department (China)
Q16908	Public Service Ministry/Department (Cote d'Ivoire)
Q16909	Public Service Ministry/Department (India)
Q16910	Public Service Ministry/Department (Pakistan)
Q16911	Public Service Ministry/Department (Rwanda)
Q16912	Public Service Ministry/Department (South Africa)
Q16913	Public Service Ministry/Department (Ukraine)
Q16914	Public Service Ministry/Department (Zimbabwe)
Q16915	Public Service Union
Q16916	Public Utilities Corporation
Q16917	Public Works (Bahrain)
Q16918	Public Works (Cambodia)
Q16919	Public Works (Chile)
Q16920	Public Works (Guyana)
Q16921	Public Works (India)
Q16922	Public Works (Jordan)
Q16923	Public Works (Lebanon)
Q16924	Public Works (Liberia)
Q16925	Public Works (Mozambique)
Q16926	Public Works (New Zealand)
Q16927	Public Works (Nigeria)
Q16928	Public Works (Philippines)
Q16929	Public Works (Zimbabwe)
Q16930	Puerto Rico
Q16931	Puntland
Q16932	Pussy Riot
Q16933	Páez
Q16934	Q.A.M.A. Rahim
Q16935	Qamar Javed Bajwa
Q16936	Qamar Zaman Kaira
Q16937	Qantas
Q16938	Qari Mohammad Yusof Ahmadi
Q16939	Qari Yousuf Ahmadi
Q16940	Qasem Soleimani
Q16941	Qasim al-Araji
Q16942	Qatar
Q16943	Qatar Airways
Q16944	Qatar News Agency
Q16945	Qiangba Puncog
Q16946	Qin Gang
Q16947	Qina
Q16948	Qualcomm
Q16949	Qubad Talabani
Q16950	Quds Force
Q16951	Quebec Liberal Party
Q16952	Queen Beatrix
Q16953	Queen Ranya
Q16954	Queen Sofia of Spain
Q16955	Qüdrat Hasanquliyev
Q16956	R. Gandhi
Q16957	R. Nicholas Burns
Q16958	R.I. Singh
Q16959	R.K. Singh
Q16960	R.P. Singh
Q16961	R.S. Cheema
Q16962	RAND Corporation
Q16963	RCD-National
Q16964	RENAMO
Q16965	RIA Novosti
Q16966	RJR
Q16967	RTL radio
Q16968	RTP
Q16969	Rabbi (Argentina)
Q16970	Rabbi (Australia)
Q16971	Rabbi (Chile)
Q16972	Rabbi (France)
Q16973	Rabbi (Israel)
Q16974	Rabbi (Tunisia)
Q16975	Rabbi (United Kingdom)
Q16976	Rabiu Musa Kwankwaso
Q16977	Rabri Devi
Q16978	Rachad
Q16979	Rachida Dati
Q16980	Radical Civic Union
Q16981	Radical Party (Chile)
Q16982	Radio France Internationale
Q16983	Radio Free Asia
Q16984	Radio Nigeria
Q16985	Radio Okapi
Q16986	Radio One
Q16987	Radio Programas del Peru
Q16988	Radmila Sekerinska
Q16989	Radovan Karadzic
Q16990	Rafael Caro Quintero
Q16991	Rafael Cedeño Hernández
Q16992	Rafael Correa
Q16993	Rafael Grossi
Q16994	Rafael Michelini
Q16995	Rafael Ramírez
Q16996	Rafiq Hariri
Q16997	Raghubar Das
Q16998	Rahm Israel Emanuel
Q16999	Rahmatullah Nabil
Q17000	Rahul Gandhi
Q17001	Raider (Australia)
Q17002	Raider (Kenya)
Q17003	Raider (Mozambique)
Q17004	Raider (Niger)
Q17005	Raider (Nigeria)
Q17006	Raider (South Sudan)
Q17007	Raila Odinga
Q17008	Raimonds Bergmanis
Q17009	Rainbo Paita
Q17010	Raj Narain
Q17011	Raj Thackeray
Q17012	Raja Bhaiya
Q17013	Rajeev Shukla
Q17014	Rajinder Singh
Q17015	Rajitha Senaratne
Q17016	Rajiv Pratap Rudy
Q17017	Rajnath Singh
Q17018	Rajya Sabha
Q17019	Rally for Culture and Democracy
Q17020	Rally for Democracy and Development
Q17021	Rally for Democracy and Progress
Q17022	Rally for Mali
Q17023	Ralph Gonsalves
Q17024	Ram Gopal Yadav
Q17025	Ram Madhav
Q17026	Ram Nath Kovind
Q17027	Ram Paswan
Q17028	Ram Singh
Q17029	Rama Rao
Q17030	Ramalinga Reddy
Q17031	Raman Singh
Q17032	Ramazan Abdulatipov
Q17033	Ramazon Rahimzoda
Q17034	Ramdas Athawale
Q17035	Ramesh Chennithala
Q17036	Rameshwar Singh
Q17037	Ramezan Sharif
Q17038	Rami Abdulrahman
Q17039	Ramiz Mehdiyev
Q17040	Ramon Saul Sanchez
Q17041	Ramon Zagala
Q17042	Ramsewak Shankar
Q17043	Ramtane Lamamra
Q17044	Ramush Haradinaj
Q17045	Ramzan Akhmadovich Kadyrov
Q17046	Ramzi Nohra
Q17047	Ramón Martínez
Q17048	Ramūnas Karbauskis
Q17049	Randeep Surjewala
Q17050	Ranil Wickremasinghe
Q17051	Ranjit Singh Gill
Q17052	Ranjit Sinha
Q17053	Raphael Tuju
Q17054	Rapid Action Battalion
Q17055	Rashed Khan Menon
Q17056	Rashid Derbas
Q17057	Rashid Gumarovich Nurgaliyev
Q17058	Rashid Meredov
Q17059	Rashid Temrezov
Q17060	Rashtriya Janata Dal
Q17061	Rashtriya Rifles
Q17062	Rashtriya Swayamsevak Sangh
Q17063	Ratan Tata
Q17064	Ratko Mladić
Q17065	Rauf Aregbesola
Q17066	Raul Jungmann
Q17067	Ravi Shankar Prasad
Q17068	Ravina Shamdasani
Q17069	Ravneet Singh Bittu
Q17070	Ravshanbek Sabirov
Q17071	Raychelle Omamo
Q17072	Raymond Joseph
Q17073	Raytheon
Q17074	Raza Rabbani
Q17075	Razan Zaitouneh
Q17076	Raúl Castro
Q17077	Raúl Jalil
Q17078	Raúl Sendic
Q17079	Rebecca Kadaga
Q17080	Rebel Commander (Abu Sayyaf)
Q17081	Rebel Commander (Chad)
Q17082	Rebel Commander (Chechen)
Q17083	Rebel Commander (Ethiopia)
Q17084	Rebel Commander (India)
Q17085	Rebel Commander (Liberia)
Q17086	Rebel Commander (Pakistan)
Q17087	Rebel Commander (Sierra Leone)
Q17088	Rebel Commander (Sudan)
Q17089	Rebel Commander (Uganda)
Q17090	Rebel Commander (Ukraine)
Q17091	Rebel Commander (Yemen)
Q17092	Rebel Group (Abu Sayyaf)
Q17093	Rebel Group (Afghanistan)
Q17094	Rebel Group (Allied Democratic Forces)
Q17095	Rebel Group (Angola)
Q17096	Rebel Group (Central African Republic)
Q17097	Rebel Group (Chad)
Q17098	Rebel Group (Colombia)
Q17099	Rebel Group (Democratic Republic of Congo)
Q17100	Rebel Group (Ethiopia)
Q17101	Rebel Group (Houthis)
Q17102	Rebel Group (India)
Q17103	Rebel Group (Indonesia)
Q17104	Rebel Group (Iran)
Q17105	Rebel Group (Italy)
Q17106	Rebel Group (Jabhat al-Nusra)
Q17107	Rebel Group (Libya)
Q17108	Rebel Group (Myanmar)
Q17109	Rebel Group (National Liberation Army)
Q17110	Rebel Group (Nepal)
Q17111	Rebel Group (Oromo Liberation Front)
Q17112	Rebel Group (Papua New Guinea)
Q17113	Rebel Group (Peru)
Q17114	Rebel Group (Philippines)
Q17115	Rebel Group (Rwanda)
Q17116	Rebel Group (Saudi Arabia)
Q17117	Rebel Group (Senegal)
Q17118	Rebel Group (Shining Path)
Q17119	Rebel Group (South Sudan)
Q17120	Rebel Group (Sudan)
Q17121	Rebel Group (Tamil Tigers)
Q17122	Rebel Group (Tigray-Tigrinya)
Q17123	Rebel Group (Uganda)
Q17124	Rebel Group (Yemen)
Q17125	Recep Tayyip Erdoğan
Q17126	Reckya Madougou
Q17127	Red Commandoes
Q17128	Redwan Hussein
Q17129	Refat Chubarov
Q17130	Reform Movement
Q17131	Reform Party (Estonia)
Q17132	Reform Party (Senegal)
Q17133	Refugee (Afghanistan)
Q17134	Refugee (Africa)
Q17135	Refugee (Algeria)
Q17136	Refugee (Angola)
Q17137	Refugee (Armenia)
Q17138	Refugee (Australia)
Q17139	Refugee (Azerbaijan)
Q17140	Refugee (Bangladesh)
Q17141	Refugee (Belarus)
Q17142	Refugee (Belgium)
Q17143	Refugee (Brazil)
Q17144	Refugee (Bulgaria)
Q17145	Refugee (Burkina Faso)
Q17146	Refugee (Burundi)
Q17147	Refugee (Cameroon)
Q17148	Refugee (Canada)
Q17149	Refugee (Central African Republic)
Q17150	Refugee (Chad)
Q17151	Refugee (Colombia)
Q17152	Refugee (Congo)
Q17153	Refugee (Costa Rica)
Q17154	Refugee (Cote d'Ivoire)
Q17155	Refugee (Democratic Republic of Congo)
Q17156	Refugee (Denmark)
Q17157	Refugee (Egypt)
Q17158	Refugee (England)
Q17159	Refugee (Eritrea)
Q17160	Refugee (Estonia)
Q17161	Refugee (Ethiopia)
Q17162	Refugee (France)
Q17163	Refugee (Germany)
Q17164	Refugee (Greece)
Q17165	Refugee (Hong Kong)
Q17166	Refugee (India)
Q17167	Refugee (Indonesia)
Q17168	Refugee (Iran)
Q17169	Refugee (Iraq)
Q17170	Refugee (Italy)
Q17171	Refugee (Jordan)
Q17172	Refugee (Kenya)
Q17173	Refugee (Laos)
Q17174	Refugee (Lebanon)
Q17175	Refugee (Liberia)
Q17176	Refugee (Libya)
Q17177	Refugee (Lithuania)
Q17178	Refugee (Malawi)
Q17179	Refugee (Malaysia)
Q17180	Refugee (Myanmar)
Q17181	Refugee (New Zealand)
Q17182	Refugee (Niger)
Q17183	Refugee (Nigeria)
Q17184	Refugee (Palestinian Territory, Occupied)
Q17185	Refugee (Panama)
Q17186	Refugee (Philippines)
Q17187	Refugee (Poland)
Q17188	Refugee (Qatar)
Q17189	Refugee (Russia)
Q17190	Refugee (Somalia)
Q17191	Refugee (South Africa)
Q17192	Refugee (South Korea)
Q17193	Refugee (South Sudan)
Q17194	Refugee (Spain)
Q17195	Refugee (Sri Lanka)
Q17196	Refugee (Sudan)
Q17197	Refugee (Syria)
Q17198	Refugee (Tanzania)
Q17199	Refugee (Thailand)
Q17200	Refugee (Tunisia)
Q17201	Refugee (Turkey)
Q17202	Refugee (Uganda)
Q17203	Refugee (United Kingdom)
Q17204	Refugee (United States)
Q17205	Refugee (Uruguay)
Q17206	Refugee (Venezuela)
Q17207	Refugee (Yemen)
Q17208	Refugee (Zimbabwe)
Q17209	Refugee Advocate
Q17210	Regional Governor (Bulgaria)
Q17211	Regional Governor (Chile)
Q17212	Regional Governor (Czech Republic)
Q17213	Regional Governor (Ethiopia)
Q17214	Regional Governor (Gambia)
Q17215	Regional Governor (Kazakhstan)
Q17216	Regional Governor (Mozambique)
Q17217	Regional Governor (Namibia)
Q17218	Regional Governor (Nigeria)
Q17219	Regional Governor (Peru)
Q17220	Regional Governor (Russia)
Q17221	Regional Governor (Slovakia)
Q17222	Regional Governor (Somalia)
Q17223	Regional Governor (United States)
Q17224	Regional Representative (Argentina)
Q17225	Regional Representative (Democratic Republic of Congo)
Q17226	Regnum
Q17227	Regulator (Angola)
Q17228	Regulator (Australia)
Q17229	Regulator (Bahrain)
Q17230	Regulator (Bangladesh)
Q17231	Regulator (Belgium)
Q17232	Regulator (Brazil)
Q17233	Regulator (Chile)
Q17234	Regulator (China)
Q17235	Regulator (Croatia)
Q17236	Regulator (Cyprus)
Q17237	Regulator (Czech Republic)
